Profile_Id,Profile_Name,Profile_Link,Designation,Interested_In,No_Of_Citations
521,Robert Bird,https://scholar.google.co.uk/citations?hl=en&user=MqvyBBEAAAAJ,Senior Lecturer Coventry University,Digital Forensics Investigation Pedagogy ALL ,35
522,Dr Paul Cashian,https://scholar.google.co.uk/citations?hl=en&user=mEW5dgsAAAAJ,"Associate Dean (Student Experience), Faculty of Business and Law, Coventry Univerity",Critical realism Higher education student employability ,35
523,Chas Morrison,https://scholar.google.co.uk/citations?hl=en&user=yhnHmMwAAAAJ,"Assistant Professor, Centre for Trust, Peace & Social Relations, Coventry University",Post-Conflict recovery conflict legacies disasters community responses ,35
524,ARIS TERZOPOULOS,https://scholar.google.co.uk/citations?hl=en&user=H4FDqEgAAAAJ,Coventry University,Bilingualism ,35
525,PIYYA MUHAMMAD RAFI-UL-SHAN,https://scholar.google.co.uk/citations?hl=en&user=zl3gUDIAAAAJ,"Lecturer in Operations and Supply Chain Management, Coventry University, UK",Logistics Operations and Supply Chain Risk Sustainability and Relationships Management ,34
526,Konstantina Papadopoulou,https://scholar.google.co.uk/citations?hl=en&user=mUGj7yoAAAAJ,Coventry University,geophysics materials ,34
527,Ana Marta Noval Arango,https://scholar.google.co.uk/citations?hl=en&user=JPzFJjAAAAAJ,Coventry University,,33
528,KRISTINA MARINTSEVA,https://scholar.google.co.uk/citations?hl=en&user=g8BrIpsAAAAJ,"Coventry University, UK",air transportation management aviation logistics ,33
529,Zimu Xu,https://scholar.google.co.uk/citations?hl=en&user=KF68nTIAAAAJ,"Lecturer in Enterprise and Entrepreneurship, Coventry University",innovation entrepreneurship ecosystem entrepreneurship policy digital gaming arts and creative industry ,32
530,Khaled Al Khudir,https://scholar.google.co.uk/citations?hl=en&user=oJDNCz8AAAAJ,"School of Mechanical, Aerospace and Automotive Engineering - Coventry University",Robotics and control ,32
531,Ibrahim Almakky,https://scholar.google.co.uk/citations?hl=en&user=T9MTcK0AAAAJ,"Lecturer, Coventry University Group",Deep Learning Machine Learning Representation Learning ,31
532,Liliane Mouan,https://scholar.google.co.uk/citations?hl=en&user=OVJY65MAAAAJ,"Lecturer in Emerging Markets, Coventry University",Law Political Economy Economic Policy Transnational Governance Business and Human Rights ,31
533,Dr Josh Hurst,https://scholar.google.co.uk/citations?hl=en&user=eyIrDicAAAAJ,"Coventry university, InoCardia ltd,",skeletal muscle obesity Cardiac muscle work loop ,31
534,Luo Li,https://scholar.google.co.uk/citations?hl=en&user=dxGKF5oAAAAJ,Coventry University,,29
535,Anitha Chinnaswamy,https://scholar.google.co.uk/citations?hl=en&user=grMCGN8AAAAJ,"Senior Lecturer - Cyber Security Management, Coventry University",Air Pollution and Health GIS Knowledge Management Decision Support Systems Cyber Security Management ,29
536,Safaa Sindi,https://scholar.google.co.uk/citations?hl=en&user=SBJlLgoAAAAJ,"Assistant Professor in Operations and Supply Chain Management, Coventry University",Logistics operation manufacturing supply chain autonomous haulage automation simulation ,29
537,Dr Qazi Awais Amin,https://scholar.google.co.uk/citations?hl=en&user=mXgpF9cAAAAJ,Lecturer in Finance Business School Coventry University UK,Accounting Corporate Finanace Corporate governance International Business ,29
538,Chris Hastie,https://scholar.google.co.uk/citations?hl=en&user=zDwbYHQAAAAJ,Coventry University,Social policy public management ,28
539,Siddharth Suhas Kulkarni,https://scholar.google.co.uk/citations?hl=en&user=p7VEWsQAAAAJ,"Lecturer in Engineering Design, Coventry University",Mechanical Engineering Engineering Design Renewable Energy ,28
540,Michael Onoja,https://scholar.google.co.uk/citations?hl=en&user=z0qFmygAAAAJ,"Doctoral Researcher, Coventry University",Multiphase Flow and Transport in Porous … CO2 Sequestration Reservoir Optimisation Enhanced Oil Recovery Numerical Simul ,28
541,dingayo mzyece,https://scholar.google.co.uk/citations?hl=en&user=LDf8tssAAAAJ,"Assistant Professor (Senior Lecturer), Coventry University",Integrated Project Delivery Building Information Modelling Standard Forms of Contract and Construction … ,27
542,Dr Petya Koleva,https://scholar.google.co.uk/citations?hl=en&user=yThuHmsAAAAJ,"Lecturer in Business Strategy, Coventry University",CSR Middle Eastern Studies Islam grounded theory qualitative methods ,27
543,Donato Vozza,https://scholar.google.co.uk/citations?hl=en&user=n1fgK9gAAAAJ,"Research Fellow, Coventry University",Financial Crime ,27
544,Ursula Rutherford,https://scholar.google.co.uk/citations?hl=en&user=AizYeg0AAAAJ,Coventry University,engineering education ,26
545,Mark Stewart,https://scholar.google.co.uk/citations?hl=en&user=pRMnYZUAAAAJ,Coventry University,Television media studies digital cultures fan studies media industries ,26
546,Barbara Howell,https://scholar.google.co.uk/citations?hl=en&user=c4c_--gAAAAJ,Coventry university,,26
547,Mateja Celestina,https://scholar.google.co.uk/citations?hl=en&user=ooClMbAAAAAJ,"Assistant Professor, Centre for Trust, Peace and Social Relations, Coventry University",forced migration place belonging identity Latin America ,25
548,Mohsen Abbaszadeh,https://scholar.google.co.uk/citations?hl=en&user=ywyn54IAAAAJ,Coventry University,CO2 storage carbon storage reservoir engineering fluid flow in porous media EOR ,25
549,Hesamaldin Jadidbonab,https://scholar.google.co.uk/citations?hl=en&user=OXoouu8AAAAJ,Research Fellow in Coventry University,Fluid Mechanics ,25
550,Sergio Ruiz Cayuela,https://scholar.google.co.uk/citations?hl=en&user=9lsDctEAAAAJ,Coventry University,,23
551,Julian Hellaby,https://scholar.google.co.uk/citations?hl=en&user=kLHDhysAAAAJ,Coventry University,Music ,23
552,John Denholm,https://scholar.google.co.uk/citations?hl=en&user=B3BDqtYAAAAJ,"Researcher, Seious Games Instutute, Coventry, UK",Serious Games for educational purposes ,22
553,Sarah Charles,https://scholar.google.co.uk/citations?hl=en&user=ZTT1tyQAAAAJ,"PhD Researcher, Coventry University",Biopsychology of Religion Psychology of Emotion Cognitive Neuroscience of Music Psychology of Sexuality ,22
554,ojo peter,https://scholar.google.co.uk/citations?hl=en&user=lReDZYoAAAAJ,"Doctor of Environmental Engineering , Coventry University",Water and Wastewater Engineering Water and sanitation Environmental Management and Energy … ,22
555,Carey Pridgeon,https://scholar.google.co.uk/citations?hl=en&user=UoOzYE4AAAAJ,"Lecturer in Computer Science, Coventry University",,21
556,Dr James E Pickering,https://scholar.google.co.uk/citations?hl=en&user=TV7tKd0AAAAJ,"Lecturer, Control and Instrumentation, Coventry University",Autonomous Systems Model-Based Design Embedded Control Applied Control Theory ,21
557,Shauna Kearney,https://scholar.google.co.uk/citations?hl=en&user=owNyRSMAAAAJ,Coventry University,,21
558,Goodhead Abraham,https://scholar.google.co.uk/citations?hl=en&user=yJjfdu4AAAAJ,"Researcher in parallel computing, multicores and Grid scheduling, Coventry University",Parallel computing multicore technology multi-scheduling Grid scheduling ,20
559,Deepak Sharma,https://scholar.google.co.uk/citations?hl=en&user=ulYrHFAAAAAJ,Cotutelle PhD at Coventry University (UK) and Deakin University (Australia),Titanium Alloys Small-Angle Scattering Thermomechanical Processing Additive Manufacturing Surface Modification ,20
560,Stuart MacLennan,https://scholar.google.co.uk/citations?hl=en&user=MnPaPW4AAAAJ,Coventry University,Taxation Law EU Law Scots Law Devolution Local Government ,19
561,Ezinne Merianchris EMEANA,https://scholar.google.co.uk/citations?hl=en&user=ZmsC2bgAAAAJ,"Researcher, Centre for Agroecology, Water and Resilience, Coventry University",ICTs4Agriculture Sustainable Food Security Extension and Advisory Services Agroecology Rural Development ,19
562,Tola Adesina,https://scholar.google.co.uk/citations?hl=en&user=0kkKt3QAAAAJ,Coventry University,Central Bank Communication Macroeconomics Financial Market Volatility ,19
563,Simon Gérard,https://scholar.google.co.uk/citations?hl=en&user=Z32CxqAAAAAJ,"Lecturer in Sport Management, Coventry University",Sport Management ,19
564,Joanne Porter,https://scholar.google.co.uk/citations?hl=en&user=dlNXvk4AAAAJ,"Assistant Professor, Coventry University",occupational therapy ,19
565,Fujia Li,https://scholar.google.co.uk/citations?hl=en&user=O8JMkwcAAAAJ,"International Centre for Transformational Entrepreneurship (ICTE), Coventry University",Responsible Innovation Transformational Entrepreneurship Entrepreneurship Education ,19
566,Jill Journeaux,https://scholar.google.co.uk/citations?hl=en&user=SW7Tl0sAAAAJ,"Professor of Fine Art Education, Coventry University, UK",fine art education at degree level visual arts practice and theory ,18
567,"Adrian-Josue Guel-Cortez, A.-J. Guel-Cortez, Adrian J Guel C",https://scholar.google.co.uk/citations?hl=en&user=gZcBLuoAAAAJ,Coventry University,Complex Systems Stochastic systems Fractional order systems ,18
568,Ijhar Rusli,https://scholar.google.co.uk/citations?hl=en&user=TGYTObgAAAAJ,"Research Fellow, Coventry University",fluid mechanics flow measurement thermodynamics thermal comfort ,18
569,Claire Burwell,https://scholar.google.co.uk/citations?hl=en&user=ndUHX88AAAAJ,"School of Energy, Construction and Environment, Coventry University",geographical information science geovisualization lidar ,17
570,Oluwaleke Agbaje,https://scholar.google.co.uk/citations?hl=en&user=MKioTy0AAAAJ,Coventry University,Parameter Estimation Control Diagnostics Prognossis Electric Machines ,17
571,Dorota Dobrzańska,https://scholar.google.co.uk/citations?hl=en&user=WybxGJEAAAAJ,Coventry University,Anaerobic Digestion Bioreactos Organic Chemistry Biotechnology ,17
572,Charlotte Collins,https://scholar.google.co.uk/citations?hl=en&user=2E1KM_IAAAAJ,"Aeropsace Engineering, Coventry University",Employability Engineering Education Educational Engagement ,17
573,Suresh George,https://scholar.google.co.uk/citations?hl=en&user=kzIb8x4AAAAJ,"Associate Professor in International Business, Coventry University",resource based view state capture geopolitics International Business Pedagogy ,17
574,Thomas Knowles,https://scholar.google.co.uk/citations?hl=en&user=cCOjongAAAAJ,"Assistant Professor, Coventry University",science fiction Romanticism ecocriticism JG Ballard Philip K. Dick ,17
575,Rebecca Grant,https://scholar.google.co.uk/citations?hl=en&user=JDniRCoAAAAJ,"Senior Lecturer in Human Factors, Coventry University",Human Factors Occupational Psychology Safety Aviation ,16
576,Arun Mambazhasseri Divakaran,https://scholar.google.co.uk/citations?hl=en&user=9WPMiVMAAAAJ,"Research Scholar, Coventry University",Energy storage systems Lithium ion battery materials Thermal management systems ,16
577,Nicola Standen,https://scholar.google.co.uk/citations?hl=en&user=dbRFrQsAAAAJ,"Research Assistant, Coventry University",Social Justice Health and Social Care Inequalities ,15
578,Eliana Lauretta,https://scholar.google.co.uk/citations?hl=en&user=0pnTnbkAAAAJ,Coventry University,financial development financial innovation financial crisis agent-based modelling ,15
579,Ahmad Daowd,https://scholar.google.co.uk/citations?hl=en&user=L7CwxcwAAAAJ,"Lecturer in Business Analytics, Coventry University",Big Data Social Media Industry 4.0 ,15
580,Ahmadreza Hakiminejad,https://scholar.google.co.uk/citations?hl=en&user=qMIFXpMAAAAJ,"Assistant Lecturer, Coventry University",Urban studies Politics of space Urban and architectural history and theory ,15
581,Allison B Duncan,https://scholar.google.co.uk/citations?hl=en&user=eDFEbTcAAAAJ,Coventry University,nonmotorized transportation urban design landscape architecture ,14
582,Jessica Ayesha Northey,https://scholar.google.co.uk/citations?hl=en&user=9ag7PtJHemQC,"Researcher, Coventry University",Civil society democracy natural resources Algeria Africa ,14
583,Sarfraz Ahmed,https://scholar.google.co.uk/citations?hl=en&user=eYkftFQAAAAJ,Coventry University,Deep Learning ,14
584,Was Rahman,https://scholar.google.co.uk/citations?hl=en&user=gjm95owAAAAJ,"Researcher, Coventry University Centre for Business in Society","AI & Social Divisions AI Ethics & Governance ""Unfair"" Business Decision-making ",14
585,Karthikeyan Ekambaram,https://scholar.google.co.uk/citations?hl=en&user=DYzeZhEAAAAJ,Coventry University,Numerical Crash Simulation Human Factors Injury biomechanics Accident investigation and analysis Accident causation analysis ,13
586,Anthony Luvera,https://scholar.google.co.uk/citations?hl=en&user=RG-aikQAAAAJ,Coventry University,Photography ,13
587,Sunil Anandatheertha,https://scholar.google.co.uk/citations?hl=en&user=VH7oMeMAAAAJ,Coventry University,Texture analysis LSP Residual strains CPFEM Neutron diffraction and transmission ,13
588,Mihaela Vlad,https://scholar.google.co.uk/citations?hl=en&user=9bG_6QEAAAAJ,Research Assistant - Coventry University,Tribology - Lubrication ,12
589,Sahand Chitsaz Charandabi,https://scholar.google.co.uk/citations?hl=en&user=ZW1UJlYAAAAJ,Coventry University,Material Characterisation Surface Engineering Micro Manufacturing MEMS Micro and Nano Technology ,12
590,Xavier Pierron,https://scholar.google.co.uk/citations?hl=en&user=Hr-aqnQAAAAJ,"Senior Lecturer, Coventry University",Behavioural Economics Small E-Waste Management ,12
591,Peter McLuskie,https://scholar.google.co.uk/citations?hl=en&user=3_-FGRQAAAAJ,Coventry University,Creative Enterprise ,12
592,Victoria Leonard,https://scholar.google.co.uk/citations?hl=en&user=naeG_BYAAAAJ,"Research Fellow, Coventry University; Research Fellow, Institute of Classical Studies; …",Ancient History Late Antiquity Medieval History Early Christianity Ancient Religion ,12
593,Emmanuel Anike,https://scholar.google.co.uk/citations?hl=en&user=PqflogIAAAAJ,Coventry University,Sustainable construction materials ,12
594,Niall Curry,https://scholar.google.co.uk/citations?hl=en&user=ZlALhokAAAAJ,Lecturer Coventry University,Linguistics Corpus Linguistics Contrastive Linguistics Academic Discourse Language Teaching and Learning ,12
595,Jonathan Livingstone,https://scholar.google.co.uk/citations?hl=en&user=OtlQEQgAAAAJ,Coventry University,social psychology educational psychology clinical psychology race ,12
596,Balaji Aresh,https://scholar.google.co.uk/citations?hl=en&user=jmGDZJYAAAAJ,Assistant Lecturer at Coventry University,Fracture mechanics ,11
597,James Edward Trollope,https://scholar.google.co.uk/citations?hl=en&user=MYrsPWgAAAAJ,"Assistant Lecturer/Researcher, Coventry University",Dynamics and control smart  systems design naturally inspired systems decision making algorithms energy absorbing systems ,11
598,Matt Perry,https://scholar.google.co.uk/citations?hl=en&user=tHxuAVQAAAAJ,"Paramedic Science, School of Nursing, Midwifery & Health, Coventry University",Paramedic Prehospital Care Patient Experience ,11
599,Uche Onyekpe,https://scholar.google.co.uk/citations?hl=en&user=MXdEsZgAAAAJ,"PhD Candidate, Coventry University",Autonomous Systems Deep Learning Artificial Intelligence Vehicle Navigation ,11
600,Toheed Aizad,https://scholar.google.co.uk/citations?hl=en&user=r2LiBPgAAAAJ,"Research Assistant, Coventry University",Model order reduction System identification Control optimisation applied to automotive … ,10
601,Leanne Raymond,https://scholar.google.co.uk/citations?hl=en&user=A_JtxIcAAAAJ,"Assistant lecturer of Sports Therapy, Coventry University",Sport injuries ,10
602,Elizabeth Benjamin,https://scholar.google.co.uk/citations?hl=en&user=GzBqlxcAAAAJ,Coventry University,French Studies Comparative Aesthetics Art History Cultural Memory Avant-Garde ,10
603,Mariyah Siddique,https://scholar.google.co.uk/citations?hl=en&user=8s91iYAAAAAJ,"Student, Coventry University",Business Psychology Occupational Psychology Organisational/organizational psychology ,10
604,Danai Mikelli,https://scholar.google.co.uk/citations?hl=en&user=fXvV1TIAAAAJ,"Lecturer in Media Production, Coventry University",,10
605,Tim Nisbet,https://scholar.google.co.uk/citations?hl=en&user=kjgfUIgAAAAJ,Coventry University,linguistics syntax ,10
606,Xue Zhou,https://scholar.google.co.uk/citations?hl=en&user=1pnWVsIAAAAJ,Coventry University,Digital Technology Acceptance. Student … ,10
607,Steve Coupe,https://scholar.google.co.uk/citations?hl=en&user=b1VQ15UAAAAJ,Research Fellow Coventry University,Environmental microbiology ecology water quality sustainability ,9
608,Niki Cheong,https://scholar.google.co.uk/citations?hl=en&user=FHzU1cwAAAAJ,"Lecturer in Media and Communication, Coventry University, UK",media studies political communication internet studies digital culture ,9
609,Rochelle Sassman,https://scholar.google.co.uk/citations?hl=en&user=VM6Y9-YAAAAJ,"Principal Lecturer in Information Systems, Coventry University",knowledge management healthcare data analytics operational research ,8
610,Paul Magee,https://scholar.google.co.uk/citations?hl=en&user=Xuso3OAAAAAJ,"Coventry University, UK",Interface Design ,8
611,Dr Helen Gorrill,https://scholar.google.co.uk/citations?hl=en&user=8AWG2YcAAAAJ,Coventry University,Gender Contemporary Painting Aesthetics Identity ,8
612,Colin Stephen,https://scholar.google.co.uk/citations?hl=en&user=HNmtzhoAAAAJ,"Assistant Lecturer, School of Computing, Electronics and Mathematics, Coventry University",topological data analysis time series ,8
613,Evronia Azer,https://scholar.google.co.uk/citations?hl=en&user=CclJUYoAAAAJ,"Assistant Professor, Coventry University",ICT4D Collective Action ,8
614,Bentil Oduro,https://scholar.google.co.uk/citations?hl=en&user=Ev00YOsAAAAJ,"Lecturer, Coventry University",Contemporary marketing practice entrepreneurship small business management and marketing consumption theory acculturation and management ,8
615,Ihechiluru Fortune Anya,https://scholar.google.co.uk/citations?hl=en&user=_XUvlM0AAAAJ,Coventry University,Renewable Energy Engineering ,7
616,Dr. Esme Wood,https://scholar.google.co.uk/citations?hl=en&user=9THxxdYAAAAJ,"Honorary Research Fellow, Coventry University",Occupational Therapy Dementia GPS technology Therapeutic outdoor enviornments ,7
617,Jasmine Peak,https://scholar.google.co.uk/citations?hl=en&user=8twdDkgAAAAJ,"PhD Researcher, Coventry University",Ageing loneliness communities social isolation community capitals ,7
618,Felix Batsch,https://scholar.google.co.uk/citations?hl=en&user=w9BVkUsAAAAJ,Coventry University,Autonomous Vehicles Machine Learning Automated Driving ,7
619,Shivani Rochford,https://scholar.google.co.uk/citations?hl=en&user=esBNFYgAAAAJ,Coventry University,,7
620,Dr M Burhan,https://scholar.google.co.uk/citations?hl=en&user=Ppbz-UsAAAAJ,"Coventry University, Business School, UK",HRM in SMEs Strategic HRM Crisis Management Leadership and Governance ,7
621,Erik Barrow,https://scholar.google.co.uk/citations?hl=en&user=D36joaIAAAAJ,Coventry University,Artificial Intelligence Computer Vision Deep Learning ,6
622,Helen Janiszewski,https://scholar.google.co.uk/citations?hl=en&user=fFmBbuYAAAAJ,Coventry University,midwifery pregnancy childbirth Inflammatory Bowel Disease ,6
623,Azadeh Pourmalek,https://scholar.google.co.uk/citations?hl=en&user=3tI1otkAAAAJ,"PhD Researcher, Fluid and Complex Systems Research Centre Coventry University",Carbon Capture and Storage Reservoir Simulation Petroleum Geoscience ,6
624,Laura Payne,https://scholar.google.co.uk/citations?hl=en&user=5gjLIwEAAAAJ,"Research Fellow, Coventry University",Peacebuilding conflict prevention humanitarian aid ,6
625,Muhammad Adnan Aslam,https://scholar.google.co.uk/citations?hl=en&user=q_mOdsMAAAAJ,Coventry University,Accounting and Finance ,6
626,Dr Ikechukwu Celestine Maduka,https://scholar.google.co.uk/citations?hl=en&user=zDt5OA8AAAAJ,IT Lecturer Coventry University,Health Informatics Business Computing Project Management ,5
627,Joseph Morrissey,https://scholar.google.co.uk/citations?hl=en&user=rnJjXbsAAAAJ,Coventry University,English literature ,5
628,Amber Darr,https://scholar.google.co.uk/citations?hl=en&user=XcxQb1YAAAAJ,Lecturer in Law Coventry Law School,Comparative Law Competition Law Commercial Law South Asian Legal Studies ,5
629,Dr Simon Cooper,https://scholar.google.co.uk/citations?hl=en&user=wihtJuwAAAAJ,"Lecturer in Human Resource Management, Coventry University",Human Resource Management Strategic Management Institutional Work Middle managers Public Sector Management Reform ,5
630,Paula Dring,https://scholar.google.co.uk/citations?hl=en&user=o2QleNwAAAAJ,"Assistant Professor of Occupational Therapy, Coventry University",Occupational Science Neurological Occupational Therapy ,5
631,Pernille Luxhøj Woods,https://scholar.google.co.uk/citations?hl=en&user=AUjO9z4AAAAJ,Coventry University,,4
632,Patricia Routh,https://scholar.google.co.uk/citations?hl=en&user=q4owJhcAAAAJ,"Lecturer, Coventry University & University of Sheffield",Representation Subversion Autodidactic & Vernacular Creativity in Digital … Relational Aesthetics ,4
633,sean Lowton-Smith,https://scholar.google.co.uk/citations?hl=en&user=c9vVp5gAAAAJ,Coventry University,Sport Exercise and Physiotherapy ,3
634,Gianluca Padula,https://scholar.google.co.uk/citations?hl=en&user=QT3NUNsAAAAJ,Coventry University,Aerospace Automotive CFD ,3
635,Tubolayefa Warekuromor,https://scholar.google.co.uk/citations?hl=en&user=8JK1AksAAAAJ,"Faculty of Engineering, Environment and Computing, Coventry University",Spatial data infrastructure Information systems Environmental management ,3
636,Sofya Danilova,https://scholar.google.co.uk/citations?hl=en&user=GXB0ZfMAAAAJ,Coventry University,Materials Engineering ,3
637,patricia ashman,https://scholar.google.co.uk/citations?hl=en&user=a76P_QQAAAAJ,"Associate Head of Mechanical, Aerospace and Automotive Engineering, Coventry University",ethics of autonomous vehicles china student market digital technologies ,3
638,Offiong Etim,https://scholar.google.co.uk/citations?hl=en&user=IdtyYYkAAAAJ,"PhD Research Student, Coventry University",Structural Performance of Materials ,3
639,Jamie Walters,https://scholar.google.co.uk/citations?hl=en&user=gpBnLEcAAAAJ,Coventry University,health and medicine ,3
640,Maria Correia,https://scholar.google.co.uk/citations?hl=en&user=6eh7c5IAAAAJ,"Assistant Lecturer, Coventry University",Sustainable Tourism Sustainability Marketing ,3
641,Gloria Giambartolomei,https://scholar.google.co.uk/citations?hl=en&user=Sxb2BxcAAAAJ,"PhD Researcher @Centre for Agroecology, Water and Resilience (CAWR) - Coventry …",Political Ecology Social-Ecological Systems Care Ethics Sustainability Transformation Collective Leadership ,3
642,Steve Simplay,https://scholar.google.co.uk/citations?hl=en&user=qK2Pl3EAAAAJ,"Coventry University, United Kingdom",Engineering product development Outsourcing of product development Offshoring and outsourcing of engineering … Project ,2
643,Sara Reed,https://scholar.google.co.uk/citations?hl=en&user=ticBdnEAAAAJ,Coventry University,Somatics Dance Physical Literacy Feldenkrais Radical/Pedagogy ,2
644,Nathan Kerrigan,https://scholar.google.co.uk/citations?hl=en&user=oEJ3fycAAAAJ,"Research Assistant at Centre for Research in Psychology, Behaviour & Acheivement …",Sociology/Criminology/Ethnography (Identity Community Exclusion & Prejudice) ,2
645,Parveen Kaur Samra,https://scholar.google.co.uk/citations?hl=en&user=RxkMolAAAAAJ,"Associate Head for Quality and Accreditation, Coventry University",Learning Technologies Big Data Databases ,2
646,Carla Sarrouy Kay,https://scholar.google.co.uk/citations?hl=en&user=FTFBL-kAAAAJ,"Doctorat Researcher, Centre for Agroecology, Water and Resilience (Coventry University)",Agroecology Climate Change Gender ,2
647,Omar Khaled Abdelrahman,https://scholar.google.co.uk/citations?hl=en&user=Lxcc3qYAAAAJ,Coventry University,Consumer Culture Consumer Culture Theory Consumer Research Material Culture ,2
648,Alex Hastie,https://scholar.google.co.uk/citations?hl=en&user=m1CqJQ0AAAAJ,Coventry University,Geography Postcolonial Theory Cinema Popular Culture ,2
649,Muhammad Adnan Aslam,https://scholar.google.co.uk/citations?hl=en&user=LD2Iap8AAAAJ,Research student at Coventry University.,Computer Vision Traffic Surveillance Artificial Intelligence ,2
650,Antariksh Akhave,https://scholar.google.co.uk/citations?hl=en&user=X6Lv9V8AAAAJ,Coventry University,,1
651,Gary Betts,https://scholar.google.co.uk/citations?hl=en&user=l61OyrsAAAAJ,"Associate Head of Law, Coventry University",Sentencing policy and practice Criminal Law Corporate Crime ,1
652,Paula Simeon,https://scholar.google.co.uk/citations?hl=en&user=Arit_8cAAAAJ,Coventry University; University of Wolverhampton.,Entrepreneurship and Innovation Economics and Finance Mergers and Acquisitions Audit and Assurance Management and Leadership ,1
653,Robert James Sutton,https://scholar.google.co.uk/citations?hl=en&user=fVYCrtEAAAAJ,Coventry University,Modernism Public Art Democracy Social History Education ,1
654,Katie Hartless Rose,https://scholar.google.co.uk/citations?hl=en&user=gMlMTnYAAAAJ,Coventry University,Agroecology farming climate change ,1
655,Phaedra Shanbaum,https://scholar.google.co.uk/citations?hl=en&user=3wB_Ie4AAAAJ,"Assistant Professor, Center for Postdigital Cultures, Coventry University",Digital Art New Media Interface Theory Art History Embodiment and the Body ,1
656,Kelly A Bogue,https://scholar.google.co.uk/citations?hl=en&user=qC1TCyEAAAAJ,"Research Associate, Coventry University",Protest Social Housing Welfare Reform ,1
657,Monica Ingber,https://scholar.google.co.uk/citations?hl=en&user=gkWr53wAAAAJ,Coventry University,International Law International Criminal Law Continental Political Theory ,1
658,Duncan Grant,https://scholar.google.co.uk/citations?hl=en&user=rL7zWTgAAAAJ,"Associate Lecturer, Coventry University",Business management financial management research methods ,1
659,Anees Abu-Monshar,https://scholar.google.co.uk/citations?hl=en&user=ARwdxvMAAAAJ,"PhD Research Student, Coventry University",Operational Research Simulation Agent-Based Modelling Logistics Transportation ,1
660,Jun Jet T,https://scholar.google.co.uk/citations?hl=en&user=FHvuXNcAAAAJ,Coventry University,UAVs Optimization Robotics Reinforcement Learning Deep Learning ,1
661,Neshat Safari,https://scholar.google.co.uk/citations?hl=en&user=pwszq5cAAAAJ,Lecturer in law Coventry University,Corporate law Corporate governance Corporate social responsibility Securities regulations ,1
662,Jennifer Dudley,https://scholar.google.co.uk/citations?hl=en&user=UfflreEAAAAJ,"PhD Student, Coventry University",Sculpture Art History Curating ,1
663,Sam McMaster,https://scholar.google.co.uk/citations?hl=en&user=I_N4oKMAAAAJ,Coventry University,Tribology Surface Engineering Materials Science Coatings Nanomechanics ,1
664,Ismael Serrablo-Torrejon,https://scholar.google.co.uk/citations?hl=en&user=lLIR-acAAAAJ,Coventry University,Exercise Endurance Metabolic Syndrome Ejercicio HIIT ,1
665,James Spooner,https://scholar.google.co.uk/citations?hl=en&user=njUF2bgAAAAJ,Coventry University,Machine Learning Neural Networks CAV Autonomy Pedestrian Safety ,1
666,Chanaka Ganepola,https://scholar.google.co.uk/citations?hl=en&user=WfaaOs8AAAAJ,Coventry University,Finance ,0
667,Jonathan Janssens,https://scholar.google.co.uk/citations?hl=en&user=IzBBbMsAAAAJ,"BSc Multimedia Computing Student, Coventry University",web development html extraction usability ,0
668,Louis Warner,https://scholar.google.co.uk/citations?hl=en&user=0-cl-_sAAAAJ,"Coventry University, Student",Terrorism Counter- terrorism security social psychology ,0
669,Dianabasi Nkantah,https://scholar.google.co.uk/citations?hl=en&user=_f88lGcAAAAJ,"Lecturer, Coventry University",Natural Language Processing Artificial Intelligence Technologies Information Systems ,0
670,Chijioke Eke,https://scholar.google.co.uk/citations?hl=en&user=s0_sptoAAAAJ,"Doctoral Student, Coventry University",hydrodynamic modelling numerical modelling oil spill modelling ocean wave modelling sediment transport modelling ,0
671,Philip Bell,https://scholar.google.co.uk/citations?hl=en&user=OxuGRAoAAAAJ,Coventry University,Machine Learning Data Mining Big Data Natural Language Text Sentiment Analyse ,0
672,Daniel Joseph Bamford,https://scholar.google.co.uk/citations?hl=en&user=TrPRIy8AAAAJ,"Coventry University, almnus University of St. Andrews & University of Birmingham",Early Modern Diplomatic History ,0
673,Beverley Beynon-Cobb,https://scholar.google.co.uk/citations?hl=en&user=kHThS7YAAAAJ,Coventry University,Hypertension Chronic Kidney Disease Nutrition ,0
674,Steve Goult,https://scholar.google.co.uk/citations?hl=en&user=Js2KDqEAAAAJ,Coventry university,management and leadership ,0
675,Selin Kocoglu,https://scholar.google.co.uk/citations?hl=en&user=MCPhZbgAAAAJ,Coventry University,,0
676,anthony Karomba,https://scholar.google.co.uk/citations?hl=en&user=3xRphPoAAAAJ,"student, Coventry University",Oil and gas ,0
677,Tony Meacham,https://scholar.google.co.uk/citations?hl=en&user=B_zE_wMAAAAJ,"Lecturer, Coventry University",Law constitutional law secularism ,0
678,Micia de Wet,https://scholar.google.co.uk/citations?hl=en&user=VXxEBNsAAAAJ,"PhD Student, Coventry University",somatic practice intuition live performance ,0
679,Can Wang PHD,https://scholar.google.co.uk/citations?hl=en&user=r94EiOMAAAAJ,Coventry University,information，geoscience ,0
680,Rachael Molitor,https://scholar.google.co.uk/citations?hl=en&user=DkXQkOAAAAAJ,"PhD Student, Coventry University",Health Psychology Eating Behaviours Childhood Obesity ,0
681,Ishak Berrebbah,https://scholar.google.co.uk/citations?hl=en&user=1xhqZJ8AAAAJ,"Coventry University, UK.",Arab Literature in English Postcolonialism Diaspora Studies. ,0
